variable,n_missing,pct_missing,dtype,n_non_missing
ins0,1300,100.0,float64,0
ins120,1300,100.0,float64,0
log1p_ins0,1300,100.0,float64,0
log1p_ins120,1300,100.0,float64,0
lt4_use,1300,100.0,float64,0
shbg,1299,99.92,float64,1
ft3,1294,99.54,float64,6
amh,1153,88.69,float64,147
anti_tg,1043,80.23,float64,257
andro,609,46.85,float64,691
insulin,547,42.08,float64,753
ft,362,27.85,float64,938
anti_tpo,245,18.85,float64,1055
log1p_anti_tpo,245,18.85,float64,1055
glu120,138,10.62,float64,1162
glu0,137,10.54,float64,1163
ft4,119,9.15,float64,1181
tt,119,9.15,float64,1181
fsh,118,9.08,float64,1182
lh,118,9.08,float64,1182
tsh,118,9.08,float64,1182
hdl,117,9.0,float64,1183
ldl,117,9.0,float64,1183
log1p_tg,117,9.0,float64,1183
non_hdl,117,9.0,float64,1183
tc,117,9.0,float64,1183
tg,117,9.0,float64,1183
tg_hdl_ratio,117,9.0,float64,1183
dheas,115,8.85,float64,1185
age,0,0.0,float64,1300
flag_glu0_negative,0,0.0,bool,1300
flag_glu120_negative,0,0.0,bool,1300
flag_hdl_nonpositive,0,0.0,bool,1300
flag_non_hdl_negative,0,0.0,bool,1300
flag_tc_negative,0,0.0,bool,1300
flag_tg_negative,0,0.0,bool,1300
id,0,0.0,string,1300
out_age,0,0.0,bool,1300
out_amh,0,0.0,bool,1300
out_andro,0,0.0,bool,1300
out_anti_tg,0,0.0,bool,1300
out_anti_tpo,0,0.0,bool,1300
out_dheas,0,0.0,bool,1300
out_fsh,0,0.0,bool,1300
out_ft,0,0.0,bool,1300
out_ft3,0,0.0,bool,1300
out_ft4,0,0.0,bool,1300
out_glu0,0,0.0,bool,1300
out_glu120,0,0.0,bool,1300
out_hdl,0,0.0,bool,1300
out_ldl,0,0.0,bool,1300
out_lh,0,0.0,bool,1300
out_non_hdl,0,0.0,bool,1300
out_shbg,0,0.0,bool,1300
out_tc,0,0.0,bool,1300
out_tg,0,0.0,bool,1300
out_tg_hdl_ratio,0,0.0,bool,1300
out_tsh,0,0.0,bool,1300
out_tt,0,0.0,bool,1300
