variable,n_non_missing,min,p1,median,p99,max,sanity_low,sanity_high,n_flagged_outliers,pct_flagged_outliers,n_structural_flags,pct_structural_flags
tsh,1182,0.005,0.42205,1.82,5.5946000000000184,15.0,0.01,100.0,1,0.08,0,0.0
age,1300,16.0,17.0,21.0,24.0,25.0,10.0,60.0,0,0.0,0,0.0
dheas,1185,30.9,106.68,321.0,754.8000000000004,1185.0,0.0,10000.0,0,0.0,0,0.0
tg,1183,24.0,34.982,77.2,239.34000000000083,370.0,0.0,3000.0,0,0.0,0,0.0
hdl,1183,22.5,30.7,56.9,93.59000000000003,174.0,0.0,200.0,0,0.0,0,0.0
tc,1183,94.0,107.82,165.0,248.18000000000006,345.0,0.0,1000.0,0,0.0,0,0.0
ldl,1183,20.3,42.156,88.58,160.16200000000006,239.0,0.0,1000.0,0,0.0,0,0.0
tg_hdl_ratio,1183,0.3513215859030837,0.4632975847625597,1.3139931740614335,6.468348635434113,13.214285714285714,,,0,0.0,0,0.0
non_hdl,1183,27.0,51.946,104.7,189.0,259.0,,,0,0.0,0,0.0
lh,1182,0.1,0.6381,7.075,29.819000000000006,60.61,0.0,500.0,0,0.0,0,0.0
fsh,1182,0.62,2.2691,5.7925,10.676000000000021,144.0,0.0,500.0,0,0.0,0,0.0
ft4,1181,0.768,0.8392,1.18,1.614000000000001,3.1,0.0,100.0,0,0.0,0,0.0
tt,1181,0.025,0.07880000000000001,0.374,0.9724000000000005,1.91,0.0,1000.0,0,0.0,0,0.0
glu0,1163,51.9,71.61,83.9,100.0,108.0,0.0,600.0,0,0.0,0,0.0
glu120,1162,42.2,56.015,107.0,204.1700000000003,270.0,0.0,600.0,0,0.0,0,0.0
anti_tpo,1055,5.0,8.9494,10.4,367.3600000000006,600.0,0.0,5000.0,0,0.0,0,0.0
ft,938,0.05,0.20740000000000003,2.175,11.409599999999996,17.66,0.0,1000.0,0,0.0,0,0.0
andro,691,0.29,0.638,1.47,4.25,5.06,0.0,10000.0,0,0.0,0,0.0
anti_tg,257,0.3,0.3,1.19,301.7639999999999,1000.0,0.0,5000.0,0,0.0,0,0.0
amh,147,1.34,1.4467999999999999,6.15,18.436599999999984,19.85,0.0,1000.0,0,0.0,0,0.0
ft3,6,2.22,2.2495000000000003,2.955,7.791,8.02,0.0,100.0,0,0.0,0,0.0
shbg,1,25.52,25.52,25.52,25.52,25.52,0.0,10000.0,0,0.0,0,0.0
