parse_flag,n,canonical,pct
numeric,1300,age,100.0
parsed,647,anti_tpo,49.77
left_censored,406,anti_tpo,31.23
missing,245,anti_tpo,18.85
right_censored,2,anti_tpo,0.15
missing,1043,anti_tg,80.23
parsed,249,anti_tg,19.15
left_censored,7,anti_tg,0.54
right_censored,1,anti_tg,0.08
parsed,1177,tsh,90.54
missing,118,tsh,9.08
range,4,tsh,0.31
left_censored,1,tsh,0.08
parsed,1179,ft4,90.69
missing,119,ft4,9.15
range,2,ft4,0.15
missing,1294,ft3,99.54
parsed,6,ft3,0.46
parsed,1173,tg,90.23
missing,117,tg,9.0
range,10,tg,0.77
parsed,1173,hdl,90.23
missing,117,hdl,9.0
range,10,hdl,0.77
parsed,1173,tc,90.23
missing,117,tc,9.0
range,10,tc,0.77
parsed,1173,ldl,90.23
missing,117,ldl,9.0
range,10,ldl,0.77
parsed,1160,glu0,89.23
missing,137,glu0,10.54
range,3,glu0,0.23
parsed,1159,glu120,89.15
missing,138,glu120,10.62
range,3,glu120,0.23
parsed,1159,tt,89.15
missing,119,tt,9.15
range,19,tt,1.46
left_censored,3,tt,0.23
parsed,932,ft,71.69
missing,362,ft,27.85
range,6,ft,0.46
missing,1299,shbg,99.92
parsed,1,shbg,0.08
parsed,1164,dheas,89.54
missing,115,dheas,8.85
range,21,dheas,1.62
parsed,689,andro,53.0
missing,609,andro,46.85
range,2,andro,0.15
missing,1153,amh,88.69
parsed,147,amh,11.31
parsed,1171,lh,90.08
missing,118,lh,9.08
range,6,lh,0.46
left_censored,5,lh,0.38
parsed,1176,fsh,90.46
missing,118,fsh,9.08
range,6,fsh,0.46
missing,1300,ins0,100.0
missing,1300,ins120,100.0
parsed,750,insulin,57.69
missing,547,insulin,42.08
range,2,insulin,0.15
left_censored,1,insulin,0.08
missing,1300,lt4_use,100.0
