variable,n_TAI_pos_total,n_TAI_neg_total,n_TAI_pos_measured,n_TAI_neg_measured,pct_missing_overall,TAI_pos_median,TAI_pos_q25,TAI_pos_q75,TAI_neg_median,TAI_neg_q25,TAI_neg_q75,median_diff_TAIpos_minus_TAIneg,hedges_g,rank_biserial_corr,p_value,p_fdr_bh,fdr_significant_0_10,abs_g,abs_rbc
tsh,84,971,84,970,0.09,2.4,1.455,3.515,1.77,1.27,2.42,0.6299999999999999,0.8952420990707524,0.2683971526755031,4.402194669556414e-05,0.0007043511471290263,True,0.8952420990707524,0.2683971526755031
andro,84,971,54,637,34.5,1.4249999999999998,1.1175000000000002,1.76,1.48,1.12,1.92,-0.05500000000000016,-0.21603080202348846,-0.08994708994709,0.2721725511499574,0.9635915839607043,False,0.21603080202348846,0.08994708994709
ft4,84,971,84,969,0.19,1.19,1.0975000000000001,1.34,1.19,1.08,1.29,0.0,0.19455444018292367,0.061415794387930545,0.3498839304290968,0.9635915839607043,False,0.19455444018292367,0.061415794387930545
tt,84,971,84,970,0.09,0.369,0.25775000000000003,0.48275,0.3705,0.272,0.517,-0.0015000000000000013,-0.1283433392594296,-0.043691703485517874,0.5061319269145186,0.9635915839607043,False,0.1283433392594296,0.043691703485517874
dheas,84,971,84,970,0.09,316.0,244.75,419.25,320.0,245.25,413.0,-4.0,-0.09397110481998329,-0.019158075601374613,0.7707216580151238,0.9635915839607043,False,0.09397110481998329,0.019158075601374613
glu0,84,971,79,957,1.8,84.0,79.9,89.4,83.7,80.3,87.9,0.29999999999999716,0.07534844759946635,0.01357089004404588,0.8410816123305184,0.9635915839607043,False,0.07534844759946635,0.01357089004404588
ft,84,971,77,860,11.18,2.71,1.41,3.94,2.14,1.1875,3.6525,0.5699999999999998,0.07409699271033125,0.10468136514648152,0.12770342696137402,0.9635915839607043,False,0.07409699271033125,0.10468136514648152
tc,84,971,84,969,0.19,163.5,137.0,188.25,164.0,146.0,185.0,-0.5,-0.04844854239472562,-0.04668534080298781,0.47742134054302154,0.9635915839607043,False,0.04844854239472562,0.04668534080298781
tg_hdl_ratio,84,971,84,969,0.19,1.2414774990043806,0.9504227979898288,2.2167305585980284,1.288052373158756,0.9042735042735043,2.0,-0.046574874154375445,0.04762499396892657,-0.012629613248808291,0.8477047964419199,0.9635915839607043,False,0.04762499396892657,0.012629613248808291
ldl,84,971,84,969,0.19,85.55,68.72,107.02,87.94,72.0,105.58,-2.3900000000000006,-0.04325384462408548,-0.03711484593837533,0.5722528821197491,0.9635915839607043,False,0.04325384462408548,0.03711484593837533
non_hdl,84,971,84,969,0.19,102.55000000000001,81.9,126.6,104.0,86.8,125.4,-1.4499999999999886,-0.04275994906912267,-0.03325716251412847,0.612842764230683,0.9635915839607043,False,0.04275994906912267,0.03325716251412847
glu120,84,971,79,956,1.9,106.0,93.2,125.5,107.5,91.175,127.0,-1.5,0.030875472364928477,0.008222551771622344,0.9033671099631603,0.9635915839607043,False,0.030875472364928477,0.008222551771622344
tg,84,971,84,969,0.19,75.30000000000001,58.825,103.0,77.0,58.9,105.0,-1.6999999999999886,-0.017667584141835363,-0.027728635313774674,0.6731188035406812,0.9635915839607043,False,0.017667584141835363,0.027728635313774674
hdl,84,971,84,969,0.19,56.65,48.025000000000006,66.0,57.8,48.6,67.2,-1.1499999999999986,-0.011590978701468734,-0.038220551378446155,0.5608566276333165,0.9635915839607043,False,0.011590978701468734,0.038220551378446155
lh,84,971,84,970,0.09,6.95,4.5575,10.475,7.205,4.9625,10.375,-0.2549999999999999,-0.0017214081222487155,-0.012763868433971481,0.8460974605167839,0.9635915839607043,False,0.0017214081222487155,0.012763868433971481
fsh,84,971,84,970,0.09,5.845000000000001,5.0875,6.7325,5.86,5.012499999999999,6.907500000000001,-0.01499999999999968,0.0862990167675463,-0.0015095729013254733,0.9818166680835386,0.9818166680835386,False,0.0862990167675463,0.0015095729013254733
