variable,n_total_defined_tai,n_TAI_pos_total,n_TAI_neg_total,n_TAI_pos_measured,n_TAI_neg_measured,pct_missing_TAI_pos,pct_missing_TAI_neg,pct_missing_overall
andro,1055,84,971,54,637,35.71,34.4,34.5
ft,1055,84,971,77,860,8.33,11.43,11.18
glu120,1055,84,971,79,956,5.95,1.54,1.9
glu0,1055,84,971,79,957,5.95,1.44,1.8
ft4,1055,84,971,84,969,0.0,0.21,0.19
tg,1055,84,971,84,969,0.0,0.21,0.19
hdl,1055,84,971,84,969,0.0,0.21,0.19
tc,1055,84,971,84,969,0.0,0.21,0.19
ldl,1055,84,971,84,969,0.0,0.21,0.19
tg_hdl_ratio,1055,84,971,84,969,0.0,0.21,0.19
non_hdl,1055,84,971,84,969,0.0,0.21,0.19
tsh,1055,84,971,84,970,0.0,0.1,0.09
tt,1055,84,971,84,970,0.0,0.1,0.09
dheas,1055,84,971,84,970,0.0,0.1,0.09
lh,1055,84,971,84,970,0.0,0.1,0.09
fsh,1055,84,971,84,970,0.0,0.1,0.09
