term,beta_boot_median,OR_boot_median,CI_low,CI_high,n_boot_success,n_boot_nonconverged,n_boot_failed_or_skipped,beta_hat,OR,model_set,n,events,events_tai_pos,n_tai_pos,events_tai_neg,n_tai_neg,brier_score,auc,converged,optimizer_message,n_iter,optimizer,age_centering_mean,source_table,endpoint,endpoint_label,warning,variant,variant_description,exposure,eligibility_flag,status,trim_applied,trim_var,trim_q_low,trim_q_high,trim_low_value,trim_high_value,n_before_trim,n_after_trim,n_trimmed,effect_measure,estimator,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,rare_event_warning,interpretation_caution,reported_estimator,diagnostic_probability_model,prevalence,rare_event_warning_tai_pos,brier,auc_ci_low,auc_ci_high,n_boot_ok,cal_intercept,cal_slope,n_complete_case,risk_tai_pos,risk_tai_neg,rare_event_warning_total
Intercept,-2.617831357487902,0.0729609175308957,0.0555598486438252,0.091901106321278,2000.0,5.0,0.0,-2.606149966550031,0.0738181999087171,Primary: Firth logistic (ep_primary ~ TAI_A + age_c),1053.0,70.0,4.0,84.0,66.0,969.0,0.0619941449722671,0.5287240226711233,True,Converged,8.0,firth_adjusted_score,21.44159544159544,Table2_primary_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,-0.3024405692762404,0.7390124069960853,0.2108528694966625,1.66581638021192,2000.0,5.0,0.0,-0.2667885624769379,0.7658349805993099,Primary: Firth logistic (ep_primary ~ TAI_A + age_c),1053.0,70.0,4.0,84.0,66.0,969.0,0.0619941449722671,0.5287240226711233,True,Converged,8.0,firth_adjusted_score,21.44159544159544,Table2_primary_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,-0.0528786058600693,0.9484951472464423,0.8023411346226389,1.128790087895384,2000.0,5.0,0.0,-0.0498856649818929,0.9513381895518968,Primary: Firth logistic (ep_primary ~ TAI_A + age_c),1053.0,70.0,4.0,84.0,66.0,969.0,0.0619941449722671,0.5287240226711233,True,Converged,8.0,firth_adjusted_score,21.44159544159544,Table2_primary_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercept,-1.317692730736244,0.2677523666307631,0.2278712351417094,0.3100826636703674,2000.0,1.0,0.0,-1.3171049039959095,0.2679098049003354,Secondary: Firth logistic (ep_non_hdl ~ TAI_A + age_c),1053.0,224.0,19.0,84.0,205.0,969.0,0.1667224761633202,0.5521066689643287,True,Converged,6.0,firth_adjusted_score,21.44159544159544,Table3_secondary_models,ep_non_hdl,non-HDL ≥ 130 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,0.0862887809528758,1.0901210890613349,0.6116881886188331,1.7630873053904657,2000.0,1.0,0.0,0.0872965481882123,1.0912202311240955,Secondary: Firth logistic (ep_non_hdl ~ TAI_A + age_c),1053.0,224.0,19.0,84.0,205.0,969.0,0.1667224761633202,0.5521066689643287,True,Converged,6.0,firth_adjusted_score,21.44159544159544,Table3_secondary_models,ep_non_hdl,non-HDL ≥ 130 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,0.0885794294329545,1.0926210354331574,0.986589435720558,1.2132661978658266,2000.0,1.0,0.0,0.0896884969491808,1.0938334981583326,Secondary: Firth logistic (ep_non_hdl ~ TAI_A + age_c),1053.0,224.0,19.0,84.0,205.0,969.0,0.1667224761633202,0.5521066689643287,True,Converged,6.0,firth_adjusted_score,21.44159544159544,Table3_secondary_models,ep_non_hdl,non-HDL ≥ 130 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercept,-1.7465988747454788,0.1743659766168663,0.1447346075937245,0.2078604632697056,2000.0,1.0,0.0,-1.740612483364975,0.1754129302066841,Secondary: Firth logistic (ep_ogtt120 ~ TAI_A + age_c),1035.0,156.0,14.0,79.0,142.0,956.0,0.1279505732603102,0.5070228406405881,True,Converged,7.0,firth_adjusted_score,21.442512077294687,Table3_secondary_models,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,0.2268901034406595,1.2546919740324067,0.6251808771056044,2.1802891511462805,2000.0,1.0,0.0,0.2352276148319054,1.265196713498669,Secondary: Firth logistic (ep_ogtt120 ~ TAI_A + age_c),1035.0,156.0,14.0,79.0,142.0,956.0,0.1279505732603102,0.5070228406405881,True,Converged,7.0,firth_adjusted_score,21.442512077294687,Table3_secondary_models,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,-0.002350108984761,0.9976526503593494,0.901513670956242,1.1089616136634073,2000.0,1.0,0.0,-0.0013504694936448,0.99865044197993,Secondary: Firth logistic (ep_ogtt120 ~ TAI_A + age_c),1035.0,156.0,14.0,79.0,142.0,956.0,0.1279505732603102,0.5070228406405881,True,Converged,7.0,firth_adjusted_score,21.442512077294687,Table3_secondary_models,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.2108528694966625,1.66581638021192,2000.0,5.0,0.0,,0.7658349805993099,,1053.0,70.0,4.0,84.0,66.0,969.0,,,True,Converged,8.0,,21.44159544159544,TableS1_sensitivity,ep_primary,Primary endpoint,,base_TAI_A,Base analysis with TAI definition A,tai_A,analysis_primary_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.6116881886188331,1.7630873053904657,2000.0,1.0,0.0,,1.0912202311240955,,1053.0,224.0,19.0,84.0,205.0,969.0,,,True,Converged,6.0,,21.44159544159544,TableS1_sensitivity,ep_non_hdl,non-HDL ≥ 130 mg/dL,,base_TAI_A,Base analysis with TAI definition A,tai_A,analysis_non_hdl_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.6251808771056044,2.1802891511462805,2000.0,1.0,0.0,,1.265196713498669,,1035.0,156.0,14.0,79.0,142.0,956.0,,,True,Converged,7.0,,21.442512077294687,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,base_TAI_A,Base analysis with TAI definition A,tai_A,analysis_ogtt120_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
