term,beta,exp_beta,interpretation,model,n,r_squared,age_centering_mean,source_table,beta_hat,CI_low,CI_high,n_boot_success,outcome,endpoint,model_set,effect_measure,estimator,OR,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,endpoint_label,rare_event_warning,interpretation_caution,VIF,note,hl_stat,hl_df,hl_p,hl_groups_used,n_complete_case,prevalence,n_tai_pos,n_tai_neg,events_tai_pos,events_tai_neg,risk_tai_pos,risk_tai_neg,rare_event_warning_tai_pos,rare_event_warning_total,leverage,cooks_d,dfbeta_const,dfbeta_TAI,dfbeta_age,flag_high_leverage,flag_high_cooks,comparison,lr_stat,df_diff,p_value,AIC_linear,AIC_spline
TAI_A,-0.0040895686673488,0.995918782230858,Multiplicative ratio in TG/HDL for TAI+ vs TAI− after exponentiation,Continuous companion: OLS on log(TG/HDL) ~ TAI_A + age_c,1053.0,0.0001782105557983,21.44159544159544,Table2_primary_model_continuous_companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,-0.0046826401787239,0.9953283062880108,Multiplicative ratio in TG/HDL per 1-year increase in centered age after exponentiation,Continuous companion: OLS on log(TG/HDL) ~ TAI_A + age_c,1053.0,0.0001782105557983,21.44159544159544,Table2_primary_model_continuous_companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,Mean difference in non-HDL (mg/dL) for TAI+ vs TAI−,Continuous companion: OLS (non_hdl ~ TAI_A + age_c),1053.0,0.003163072903316,21.44159544159544,Table4_secondary_models_continuous_companion,-1.4254527411413684,-8.258056640409153,5.600871160388269,2000.0,non_hdl (continuous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,,,Per 1-year increase in centered age,Continuous companion: OLS (non_hdl ~ TAI_A + age_c),1053.0,0.003163072903316,21.44159544159544,Table4_secondary_models_continuous_companion,0.9911443206727492,-0.1727335339931032,2.1215394356837347,2000.0,non_hdl (continuous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,Mean difference in glucose 120' (mg/dL) for TAI+ vs TAI−,Continuous companion: OLS (glu120 ~ TAI_A + age_c),1035.0,0.0010841237806846,21.442512077294687,Table4_secondary_models_continuous_companion,1.0170888190139264,-5.942301499517845,8.609276532500143,2000.0,glu120 (continuous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_c,,,Per 1-year increase in centered age,Continuous companion: OLS (glu120 ~ TAI_A + age_c),1035.0,0.0010841237806846,21.442512077294687,Table4_secondary_models_continuous_companion,-0.5931988807088717,-1.713735546598536,0.4546836042307439,2000.0,glu120 (continuous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,,,,,,TableS2_Evalues,,0.2108528694966625,1.66581638021192,,,Primary: Firth logistic (ep_primary ~ TAI_A + age_c),primary,OR,firth,0.7658349805993099,True,lower_odds_in_TAI_positive,,84.0,,1.937631526688356,1.0,TG/HDL > 3.5,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,,,,,,TableS2_Evalues,,0.6251808771056044,2.1802891511462805,,,ep_ogtt120,secondary,OR,firth,1.265196713498669,True,higher_odds_in_TAI_positive,,79.0,,1.844442784136325,1.0,OGTT 120 min >= 140 mg/dL,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,,,,,,TableS2_Evalues,,0.6116881886188331,1.7630873053904657,,,ep_non_hdl,secondary,OR,firth,1.0912202311240955,True,higher_odds_in_TAI_positive,,84.0,,1.4067219929106645,1.0,non-HDL > 130 mg/dL,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAI,,,,,,,,TableS10_VIF,,,,,,ep_primary,primary,,,,,,,,,,,,,,1.087490990591928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
